,№,Адрес,Управляющий,Телефон,Год,Площадь м2,Жители
23,124,"г. Новосибирск, ул. Автогенная, д. 154/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
24,125,"г. Новосибирск, ул. Автогенная, д. 156",УК «МКС-Новосибирск»,233-03-10,—,—,—
1,127,"г. Новосибирск, ул. Автогенная, д. 158",УК «МКС-Новосибирск»,233-03-10,—,—,—
2,128,"г. Новосибирск, ул. Автогенная, д. 201",УК «МКС-Новосибирск»,233-03-10,—,—,—
3,129,"г. Новосибирск, ул. Адриена Лежена, д. 27/1",УК «МКС-Новосибирск»,233-03-10,2009,25 565.90,303
4,130,"г. Новосибирск, ул. Большевистская, д. 105",УК «МКС-Новосибирск»,233-03-10,1930,2 055.30,42
5,131,"г. Новосибирск, ул. Большевистская, д. 107",УК «МКС-Новосибирск»,233-03-10,1930,299.10,10
6,132,"г. Новосибирск, ул. Большевистская, д. 113",УК «МКС-Новосибирск»,233-03-10,—,—,—
7,133,"г. Новосибирск, ул. Бориса Богаткова, д. 196",УК «МКС-Новосибирск»,233-03-10,—,—,—
8,134,"г. Новосибирск, ул. Бориса Богаткова, д. 198",УК «МКС-Новосибирск»,233-03-10,—,—,—
9,135,"г. Новосибирск, ул. Бориса Богаткова, д. 200",УК «МКС-Новосибирск»,233-03-10,—,—,—
10,136,"г. Новосибирск, ул. Бориса Богаткова, д. 202",УК «МКС-Новосибирск»,233-03-10,—,—,—
11,137,"г. Новосибирск, ул. Бориса Богаткова, д. 204",УК «МКС-Новосибирск»,233-03-10,—,—,—
12,138,"г. Новосибирск, ул. Бориса Богаткова, д. 206",УК «МКС-Новосибирск»,233-03-10,—,—,—
13,139,"г. Новосибирск, ул. Бориса Богаткова, д. 208",УК «МКС-Новосибирск»,233-03-10,—,—,—
14,140,"г. Новосибирск, ул. Бориса Богаткова, д. 208/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
15,141,"г. Новосибирск, ул. Бориса Богаткова, д. 210",УК «МКС-Новосибирск»,233-03-10,—,—,—
16,142,"г. Новосибирск, ул. Бориса Богаткова, д. 212",УК «МКС-Новосибирск»,233-03-10,—,—,—
17,143,"г. Новосибирск, ул. Бориса Богаткова, д. 212/1",УК «МКС-Новосибирск»,233-03-10,—,—,—
